elapsed.time,treatment,group,NH3.flux
0,0-bp,No acid,11.60876997
0,0-bp,No acid,39.24787388
0,0-bp,No acid,50.29987379
3,0-bp,No acid,2.399726519
3,0-bp,No acid,4.476476413
3,0-bp,No acid,2.79929532
5,0-bp,No acid,1.299452997
5,0-bp,No acid,2.535956607
5,0-bp,No acid,1.260945051
8,0-bp,No acid,0.802731423
8,0-bp,No acid,0.311883479
8,0-bp,No acid,0.197174003
10,0-bp,No acid,-0.343115079
10,0-bp,No acid,-1.031426508
10,0-bp,No acid,-0.719645804
13,0-bp,No acid,0.647789884
13,0-bp,No acid,-0.407511802
13,0-bp,No acid,-0.138058958
15,0-bp,No acid,0.760175855
15,0-bp,No acid,-0.17668355
15,0-bp,No acid,0.328171329
18,0-bp,No acid,0.938256486
18,0-bp,No acid,-0.275671979
18,0-bp,No acid,0.184310369
20,0-bp,No acid,3.757382899
20,0-bp,No acid,-1.546655463
20,0-bp,No acid,-0.20410028
23,0-bp,No acid,3.269900125
23,0-bp,No acid,0.38370511
23,0-bp,No acid,-0.11334114
25,0-bp,No acid,3.390086607
25,0-bp,No acid,-0.360885805
25,0-bp,No acid,-1.082155575
28,0-bp,No acid,2.328251574
28,0-bp,No acid,0.559303603
28,0-bp,No acid,-0.11609784
30,0-bp,No acid,1.043723905
30,0-bp,No acid,0.164700001
30,0-bp,No acid,-0.098439816
33,0-bp,No acid,0.807753195
33,0-bp,No acid,-0.344410679
33,0-bp,No acid,-0.335554436
35,0-bp,No acid,0.763944788
35,0-bp,No acid,-0.516805735
35,0-bp,No acid,-0.288583195
38,0-bp,No acid,0.710338998
38,0-bp,No acid,-0.507388287
38,0-bp,No acid,-0.223227117
41,0-bp,No acid,1.033305787
41,0-bp,No acid,-0.495172058
41,0-bp,No acid,-0.060171385
43,0-bp,No acid,1.373259984
43,0-bp,No acid,-0.491023305
43,0-bp,No acid,0.09221935
46,0-bp,No acid,2.11494067
46,0-bp,No acid,-0.850628241
46,0-bp,No acid,0.346948896
48,0-bp,No acid,3.27026892
48,0-bp,No acid,-1.222751696
48,0-bp,No acid,0.230547637
51,0-bp,No acid,2.637548926
51,0-bp,No acid,-0.612038064
51,0-bp,No acid,0.237008042
53,0-bp,No acid,1.50751226
53,0-bp,No acid,1.19817325
53,0-bp,No acid,0.486803017
56,0-bp,No acid,1.044713506
56,0-bp,No acid,-0.355223599
56,0-bp,No acid,-0.248031077
58,0-bp,No acid,1.163577329
58,0-bp,No acid,-0.301760643
58,0-bp,No acid,0.100198212
61,0-bp,No acid,1.216975202
61,0-bp,No acid,-0.294404004
61,0-bp,No acid,0.23136646
63,0-bp,No acid,1.186607196
63,0-bp,No acid,-0.26389081
63,0-bp,No acid,0.247391212
66,0-bp,No acid,1.228828392
66,0-bp,No acid,-0.246677715
66,0-bp,No acid,0.282911018
68,0-bp,No acid,3.264304661
68,0-bp,No acid,-0.717512371
68,0-bp,No acid,0.444429421
71,0-bp,No acid,3.350504462
71,0-bp,No acid,0.19639201
71,0-bp,No acid,0.232030263
73,0-bp,No acid,3.87800185
73,0-bp,No acid,0.276478724
73,0-bp,No acid,-0.257156979
76,0-bp,No acid,2.240544911
76,0-bp,No acid,0.557808905
76,0-bp,No acid,0.186476302
78,0-bp,No acid,0.878126061
78,0-bp,No acid,-0.214857788
78,0-bp,No acid,-0.415926064
81,0-bp,No acid,0.893810322
81,0-bp,No acid,-0.298581906
81,0-bp,No acid,-0.264940584
84,0-bp,No acid,0.62623452
84,0-bp,No acid,-0.588601054
84,0-bp,No acid,-0.282754286
86,0-bp,No acid,0.906157464
86,0-bp,No acid,-0.509362627
86,0-bp,No acid,-0.129381767
89,0-bp,No acid,0.715853452
89,0-bp,No acid,-0.475376609
89,0-bp,No acid,-0.11429248
91,0-bp,No acid,1.176219356
91,0-bp,No acid,-0.998553335
91,0-bp,No acid,-0.546336226
94,0-bp,No acid,2.383658778
94,0-bp,No acid,0.946118845
94,0-bp,No acid,1.159611117
96,0-bp,No acid,2.928992497
96,0-bp,No acid,0.008115694
96,0-bp,No acid,0.045040051
99,0-bp,No acid,2.297646446
99,0-bp,No acid,0.143207954
99,0-bp,No acid,-0.091335516
101,0-bp,No acid,1.187167785
101,0-bp,No acid,0.673746186
101,0-bp,No acid,-0.080937226
104,0-bp,No acid,0.827649733
104,0-bp,No acid,-0.335847048
104,0-bp,No acid,-0.363468372
106,0-bp,No acid,0.505849236
106,0-bp,No acid,-0.81658394
106,0-bp,No acid,-0.692997338
109,0-bp,No acid,0.642079224
109,0-bp,No acid,-0.541668139
109,0-bp,No acid,-0.22060306
111,0-bp,No acid,0.592568785
111,0-bp,No acid,-0.489266469
111,0-bp,No acid,-0.184210644
114,0-bp,No acid,1.040884141
114,0-bp,No acid,-0.575702646
114,0-bp,No acid,-0.200394121
116,0-bp,No acid,1.627008514
116,0-bp,No acid,-0.574220274
116,0-bp,No acid,0.068069093
119,0-bp,No acid,1.325371331
119,0-bp,No acid,-0.891641862
119,0-bp,No acid,0.040352264
122,0-bp,No acid,1.154789808
122,0-bp,No acid,4.570918737
122,0-bp,No acid,7.529223678
124,0-bp,No acid,1.103221428
124,0-bp,No acid,1.145967049
124,0-bp,No acid,0.273392767
127,0-bp,No acid,0.861808411
127,0-bp,No acid,0.149215216
127,0-bp,No acid,-0.079803573
129,0-bp,No acid,0.860552301
129,0-bp,No acid,-0.05968504
129,0-bp,No acid,-0.163512755
132,0-bp,No acid,0.89183506
132,0-bp,No acid,-0.100291871
132,0-bp,No acid,-0.193420759
134,0-bp,No acid,0.916002117
134,0-bp,No acid,-0.125623271
134,0-bp,No acid,-0.241332993
137,0-bp,No acid,0.847490625
137,0-bp,No acid,-0.073590738
137,0-bp,No acid,-0.231140695
139,0-bp,No acid,1.472580068
139,0-bp,No acid,0.220064534
139,0-bp,No acid,0.126907574
0,1.5,Low acid,10.61939782
0,1.5,Low acid,1.925697491
0,1.5,Low acid,8.186360124
3,1.5,Low acid,2.165066018
3,1.5,Low acid,2.766231156
3,1.5,Low acid,1.958673712
5,1.5,Low acid,1.978616471
5,1.5,Low acid,1.126553673
5,1.5,Low acid,1.600291882
8,1.5,Low acid,0.855721926
8,1.5,Low acid,0.770691959
8,1.5,Low acid,0.258058448
10,1.5,Low acid,-0.261517792
10,1.5,Low acid,-0.395054252
10,1.5,Low acid,-0.98269064
13,1.5,Low acid,0.624554067
13,1.5,Low acid,0.527119193
13,1.5,Low acid,-0.257094114
15,1.5,Low acid,0.812971579
15,1.5,Low acid,0.590785542
15,1.5,Low acid,-0.002671836
18,1.5,Low acid,0.837562629
18,1.5,Low acid,0.865131054
18,1.5,Low acid,-0.092989711
20,1.5,Low acid,2.089471478
20,1.5,Low acid,3.220145769
20,1.5,Low acid,-1.264143012
23,1.5,Low acid,2.71917713
23,1.5,Low acid,4.390890117
23,1.5,Low acid,0.055664396
25,1.5,Low acid,3.807050898
25,1.5,Low acid,3.998892528
25,1.5,Low acid,-0.1868875
28,1.5,Low acid,4.171776556
28,1.5,Low acid,2.488531872
28,1.5,Low acid,0.86988576
30,1.5,Low acid,1.514906731
30,1.5,Low acid,1.121043616
30,1.5,Low acid,0.303099323
33,1.5,Low acid,0.924496803
33,1.5,Low acid,0.934692692
33,1.5,Low acid,-0.10973998
35,1.5,Low acid,0.797130648
35,1.5,Low acid,0.845944441
35,1.5,Low acid,-0.277446127
38,1.5,Low acid,0.742688302
38,1.5,Low acid,0.731264065
38,1.5,Low acid,-0.270455991
41,1.5,Low acid,1.020558358
41,1.5,Low acid,1.008213954
41,1.5,Low acid,-0.244373525
43,1.5,Low acid,1.056470388
43,1.5,Low acid,1.352673749
43,1.5,Low acid,-0.2689021
46,1.5,Low acid,1.794047741
46,1.5,Low acid,1.603526412
46,1.5,Low acid,-0.533173399
48,1.5,Low acid,2.316604039
48,1.5,Low acid,3.82660189
48,1.5,Low acid,-0.486327086
51,1.5,Low acid,3.973892408
51,1.5,Low acid,2.867086145
51,1.5,Low acid,-0.447040524
53,1.5,Low acid,2.441918651
53,1.5,Low acid,1.397887626
53,1.5,Low acid,0.830018185
56,1.5,Low acid,1.095442428
56,1.5,Low acid,1.12107054
56,1.5,Low acid,-0.246726888
58,1.5,Low acid,1.173410215
58,1.5,Low acid,1.013244254
58,1.5,Low acid,-0.202422274
61,1.5,Low acid,1.025671295
61,1.5,Low acid,1.019173863
61,1.5,Low acid,-0.205530383
63,1.5,Low acid,1.037297062
63,1.5,Low acid,0.914130426
63,1.5,Low acid,-0.192614204
66,1.5,Low acid,1.01657777
66,1.5,Low acid,0.975338205
66,1.5,Low acid,-0.161562285
68,1.5,Low acid,1.574909749
68,1.5,Low acid,1.72950458
68,1.5,Low acid,-0.437637323
71,1.5,Low acid,3.513242658
71,1.5,Low acid,3.888017208
71,1.5,Low acid,0.217065106
73,1.5,Low acid,3.886396423
73,1.5,Low acid,4.216774085
73,1.5,Low acid,0.405799393
76,1.5,Low acid,3.729142036
76,1.5,Low acid,2.211236792
76,1.5,Low acid,1.157936565
78,1.5,Low acid,1.335342756
78,1.5,Low acid,0.900180316
78,1.5,Low acid,0.019206348
81,1.5,Low acid,1.017937005
81,1.5,Low acid,0.907234856
81,1.5,Low acid,-0.035049615
84,1.5,Low acid,0.767637842
84,1.5,Low acid,0.635350022
84,1.5,Low acid,-0.348044969
86,1.5,Low acid,1.032093146
86,1.5,Low acid,0.897201974
86,1.5,Low acid,-0.212725845
89,1.5,Low acid,0.933587544
89,1.5,Low acid,0.610840724
89,1.5,Low acid,-0.165655543
91,1.5,Low acid,0.884667491
91,1.5,Low acid,1.213976102
91,1.5,Low acid,-0.64070292
94,1.5,Low acid,3.163077619
94,1.5,Low acid,3.105159945
94,1.5,Low acid,2.342369307
96,1.5,Low acid,3.966336774
96,1.5,Low acid,4.173140531
96,1.5,Low acid,0.827388456
99,1.5,Low acid,3.271592837
99,1.5,Low acid,2.843391106
99,1.5,Low acid,0.450283883
101,1.5,Low acid,1.830071954
101,1.5,Low acid,1.345981974
101,1.5,Low acid,0.691209567
104,1.5,Low acid,0.992625901
104,1.5,Low acid,0.940992287
104,1.5,Low acid,-0.079933435
106,1.5,Low acid,0.530467963
106,1.5,Low acid,0.572505434
106,1.5,Low acid,-0.556318071
109,1.5,Low acid,0.765906646
109,1.5,Low acid,0.671594977
109,1.5,Low acid,-0.240264858
111,1.5,Low acid,0.665462778
111,1.5,Low acid,0.580748021
111,1.5,Low acid,-0.205429125
114,1.5,Low acid,0.9738123
114,1.5,Low acid,1.010929331
114,1.5,Low acid,-0.235129155
116,1.5,Low acid,1.31282805
116,1.5,Low acid,1.407781953
116,1.5,Low acid,-0.158941055
119,1.5,Low acid,1.655824559
119,1.5,Low acid,1.861635551
119,1.5,Low acid,-0.164051807
122,1.5,Low acid,2.073722091
122,1.5,Low acid,1.062828892
122,1.5,Low acid,5.348183985
124,1.5,Low acid,1.515019445
124,1.5,Low acid,1.224879514
124,1.5,Low acid,1.262522456
127,1.5,Low acid,0.969970123
127,1.5,Low acid,0.973249849
127,1.5,Low acid,0.328455209
129,1.5,Low acid,0.888965508
129,1.5,Low acid,0.994299868
129,1.5,Low acid,0.127992735
132,1.5,Low acid,0.890985087
132,1.5,Low acid,1.018839544
132,1.5,Low acid,0.111193709
134,1.5,Low acid,0.940995637
134,1.5,Low acid,1.045340255
134,1.5,Low acid,0.062035947
137,1.5,Low acid,0.799656283
137,1.5,Low acid,0.966388815
137,1.5,Low acid,0.093645609
139,1.5,Low acid,1.341296236
139,1.5,Low acid,2.195059416
139,1.5,Low acid,1.553384933
139,1.5,Low acid,0.426134114
0,2.9,Medium acid,-3.005748809
0,2.9,Medium acid,-2.288111026
0,2.9,Medium acid,-3.839800722
3,2.9,Medium acid,0.764022328
3,2.9,Medium acid,1.670516851
3,2.9,Medium acid,0.967488155
5,2.9,Medium acid,0.943159457
5,2.9,Medium acid,0.84532566
5,2.9,Medium acid,0.548828353
8,2.9,Medium acid,0.412427256
8,2.9,Medium acid,0.849158684
8,2.9,Medium acid,-0.419382238
10,2.9,Medium acid,-0.658208335
10,2.9,Medium acid,-0.267304331
10,2.9,Medium acid,-1.494092044
13,2.9,Medium acid,0.252798853
13,2.9,Medium acid,0.688979484
13,2.9,Medium acid,-0.729552984
15,2.9,Medium acid,0.381402796
15,2.9,Medium acid,0.790016323
15,2.9,Medium acid,-0.444392947
18,2.9,Medium acid,0.477014549
18,2.9,Medium acid,1.137480093
18,2.9,Medium acid,-0.567428994
20,2.9,Medium acid,1.172848692
20,2.9,Medium acid,3.572829542
20,2.9,Medium acid,-1.665263725
23,2.9,Medium acid,2.07099608
23,2.9,Medium acid,4.342024499
23,2.9,Medium acid,-0.340724377
25,2.9,Medium acid,3.262203449
25,2.9,Medium acid,3.886411119
25,2.9,Medium acid,-0.736483503
28,2.9,Medium acid,2.712062321
28,2.9,Medium acid,2.409010538
28,2.9,Medium acid,0.095266606
30,2.9,Medium acid,0.952488807
30,2.9,Medium acid,1.228686774
30,2.9,Medium acid,-0.239078689
33,2.9,Medium acid,0.629677846
33,2.9,Medium acid,1.138802857
33,2.9,Medium acid,-0.585316144
35,2.9,Medium acid,0.522460074
35,2.9,Medium acid,1.088348815
35,2.9,Medium acid,-0.746014105
38,2.9,Medium acid,0.480628407
38,2.9,Medium acid,1.063490523
38,2.9,Medium acid,-0.723421245
41,2.9,Medium acid,0.733183393
41,2.9,Medium acid,1.321390829
41,2.9,Medium acid,-0.712997756
43,2.9,Medium acid,0.804795794
43,2.9,Medium acid,1.586219396
43,2.9,Medium acid,-0.745924498
46,2.9,Medium acid,1.135912982
46,2.9,Medium acid,2.023850094
46,2.9,Medium acid,-0.93641239
48,2.9,Medium acid,1.551092528
48,2.9,Medium acid,4.188259479
48,2.9,Medium acid,-0.836578523
51,2.9,Medium acid,2.427485725
51,2.9,Medium acid,3.071374561
51,2.9,Medium acid,-0.839027132
53,2.9,Medium acid,1.564966131
53,2.9,Medium acid,1.383001187
53,2.9,Medium acid,0.095830895
56,2.9,Medium acid,0.835209851
56,2.9,Medium acid,1.330569072
56,2.9,Medium acid,-0.733539159
58,2.9,Medium acid,0.832182829
58,2.9,Medium acid,1.194674422
58,2.9,Medium acid,-0.681710575
61,2.9,Medium acid,0.710142144
61,2.9,Medium acid,1.187053657
61,2.9,Medium acid,-0.70609493
63,2.9,Medium acid,0.659066724
63,2.9,Medium acid,1.115483751
63,2.9,Medium acid,-0.717654468
66,2.9,Medium acid,0.612950587
66,2.9,Medium acid,1.296521137
66,2.9,Medium acid,-0.718083452
68,2.9,Medium acid,0.745863377
68,2.9,Medium acid,2.879725417
68,2.9,Medium acid,-1.130371883
71,2.9,Medium acid,2.371907415
71,2.9,Medium acid,4.050386684
71,2.9,Medium acid,-0.445040371
73,2.9,Medium acid,2.913840948
73,2.9,Medium acid,4.150156556
73,2.9,Medium acid,-0.243515837
76,2.9,Medium acid,2.201329889
76,2.9,Medium acid,2.02927133
76,2.9,Medium acid,0.279526363
78,2.9,Medium acid,0.752445951
78,2.9,Medium acid,0.966143079
78,2.9,Medium acid,-0.526472929
81,2.9,Medium acid,0.701967759
81,2.9,Medium acid,1.050846293
81,2.9,Medium acid,-0.472147186
84,2.9,Medium acid,0.410933127
84,2.9,Medium acid,0.832127307
84,2.9,Medium acid,-0.750162994
86,2.9,Medium acid,0.639576065
86,2.9,Medium acid,1.111184349
86,2.9,Medium acid,-0.640219097
89,2.9,Medium acid,0.482079964
89,2.9,Medium acid,0.788993098
89,2.9,Medium acid,-0.620846563
91,2.9,Medium acid,0.534538585
91,2.9,Medium acid,2.082857187
91,2.9,Medium acid,-1.104511367
94,2.9,Medium acid,2.251564275
94,2.9,Medium acid,3.141151973
94,2.9,Medium acid,1.545937346
96,2.9,Medium acid,3.235993582
96,2.9,Medium acid,4.161679964
96,2.9,Medium acid,0.112234617
99,2.9,Medium acid,2.381854089
99,2.9,Medium acid,2.840341506
