"elapsed.time","NH3.bg","valve","NH3.DFC","date.time","days","treatment","group","NH3_corr"
0,151.518024471333,1,2048.1922553,2024-09-18 11:08:37.436,0,"Mp","Machine plot",1896.67423082867
0,151.518024471333,2,806.34534711,2024-09-18 11:16:37.589,0,"0-bp","No acid",654.827322638667
0,151.518024471333,3,288.1025513,2024-09-18 11:24:36.72,0,"1.5","Low acid",136.584526828667
0,151.518024471333,4,87.225539011,2024-09-18 11:32:36.451,0,"2.9","Medium acid",-64.2924854603333
0,151.518024471333,6,993.72420602,2024-09-18 11:48:36.073,0,"0-bp","No acid",842.206181548667
0,151.518024471333,7,106.17574274,2024-09-18 11:56:36.457,0,"5.7","High acid",-45.3422817313333
0,151.518024471333,8,639.73204986,2024-09-18 12:04:35.907,0,"Mp","Machine plot",488.214025388667
0,151.518024471333,10,329.32607484,2024-09-18 12:20:34.747,0,"1.5","Low acid",177.808050368667
0,151.518024471333,11,101.1906571,2024-09-18 12:28:34.845,0,"2.9","Medium acid",-50.3273673713333
0,151.518024471333,12,241.75574012,2024-09-18 12:36:35.023,0,"Mp","Machine plot",90.2377156486667
0,151.518024471333,13,128.5029879,2024-09-18 12:44:35.145,0,"5.7","High acid",-23.0150365713333
0,151.518024471333,14,346.92445046,2024-09-18 12:52:34.015,0,"0-bp","No acid",195.406425988667
0,151.518024471333,15,183.93262699,2024-09-18 13:00:34.483,0,"1.5","Low acid",32.4146025186667
0,151.518024471333,17,113.00303976,2024-09-18 13:16:32.828,0,"2.9","Medium acid",-38.5149847113333
0,151.518024471333,18,253.67909113,2024-09-18 13:24:33.796,0,"Mp","Machine plot",102.161066658667
0,151.518024471333,19,105.14596199,2024-09-18 13:32:32.934,0,"5.7","High acid",-46.3720624813333
3,115.906389603333,1,423.29765148,2024-09-18 13:40:33.131,0.125,"Mp","Machine plot",307.391261876667
3,115.906389603333,2,191.81484225,2024-09-18 13:48:32.854,0.125,"0-bp","No acid",75.9084526466667
3,115.906389603333,3,149.1199882,2024-09-18 13:56:32.312,0.125,"1.5","Low acid",33.2135985966667
3,115.906389603333,4,132.31226825,2024-09-18 14:04:31.532,0.125,"2.9","Medium acid",16.4058786466667
3,115.906389603333,6,163.37456695,2024-09-18 14:20:31.517,0.125,"0-bp","No acid",47.4681773466667
3,115.906389603333,7,118.23347612,2024-09-18 14:28:32.055,0.125,"5.7","High acid",2.32708651666667
3,115.906389603333,8,337.75692719,2024-09-18 14:36:31.02,0.125,"Mp","Machine plot",221.850537586667
3,115.906389603333,10,152.95363819,2024-09-18 14:52:30.598,0.125,"1.5","Low acid",37.0472485866667
3,115.906389603333,11,128.97985937,2024-09-18 15:00:30.825,0.125,"2.9","Medium acid",13.0734697666667
3,115.906389603333,12,192.0743106,2024-09-18 15:08:30.552,0.125,"Mp","Machine plot",76.1679209966667
3,115.906389603333,13,142.1292318,2024-09-18 15:16:29.953,0.125,"5.7","High acid",26.2228421966667
3,115.906389603333,14,156.96900117,2024-09-18 15:24:30.092,0.125,"0-bp","No acid",41.0626115666667
3,115.906389603333,15,163.61769222,2024-09-18 15:32:29.088,0.125,"1.5","Low acid",47.7113026166667
3,115.906389603333,17,144.71907029,2024-09-18 15:48:28.897,0.125,"2.9","Medium acid",28.8126806866667
3,115.906389603333,18,209.08151955,2024-09-18 15:56:28.674,0.125,"Mp","Machine plot",93.1751299466667
3,115.906389603333,19,117.07327758,2024-09-18 16:04:28.487,0.125,"5.7","High acid",1.16688797666666
5,67.7758860843333,1,239.741852,2024-09-18 16:12:28.355,0.208333333333333,"Mp","Machine plot",171.965965915667
5,67.7758860843333,2,111.51546759,2024-09-18 16:20:27.503,0.208333333333333,"0-bp","No acid",43.7395815056667
5,67.7758860843333,3,95.377343075,2024-09-18 16:28:26.789,0.208333333333333,"1.5","Low acid",27.6014569906667
5,67.7758860843333,4,77.277748911,2024-09-18 16:36:27.334,0.208333333333333,"2.9","Medium acid",9.50186282666667
5,67.7758860843333,6,89.606622118,2024-09-18 16:52:26.502,0.208333333333333,"0-bp","No acid",21.8307360336667
5,67.7758860843333,7,68.406434137,2024-09-18 17:00:26.779,0.208333333333333,"5.7","High acid",0.630548052666668
5,67.7758860843333,8,169.82640898,2024-09-18 17:08:26.446,0.208333333333333,"Mp","Machine plot",102.050522895667
5,67.7758860843333,10,102.0316642,2024-09-18 17:24:25.601,0.208333333333333,"1.5","Low acid",34.2557781156667
5,67.7758860843333,11,84.155139019,2024-09-18 17:32:25.48,0.208333333333333,"2.9","Medium acid",16.3792529346667
5,67.7758860843333,12,109.21060093,2024-09-18 17:40:25.385,0.208333333333333,"Mp","Machine plot",41.4347148456667
5,67.7758860843333,13,87.58757451,2024-09-18 17:48:24.651,0.208333333333333,"5.7","High acid",19.8116884256667
5,67.7758860843333,14,90.342663263,2024-09-18 17:56:24.71,0.208333333333333,"0-bp","No acid",22.5667771786667
5,67.7758860843333,15,87.340030217,2024-09-18 18:04:25.213,0.208333333333333,"1.5","Low acid",19.5641441326667
5,67.7758860843333,17,82.456121427,2024-09-18 18:20:24.732,0.208333333333333,"2.9","Medium acid",14.6802353426667
5,67.7758860843333,18,102.00203861,2024-09-18 18:28:23.69,0.208333333333333,"Mp","Machine plot",34.2261525256667
5,67.7758860843333,19,70.7129284,2024-09-18 18:36:23.516,0.208333333333333,"5.7","High acid",2.93704231566666
8,46.730156557,1,112.20473464,2024-09-18 18:44:23.382,0.333333333333333,"Mp","Machine plot",65.474578083
8,46.730156557,2,52.151987922,2024-09-18 18:52:23.835,0.333333333333333,"0-bp","No acid",5.421831365
8,46.730156557,3,51.216285139,2024-09-18 19:00:22.348,0.333333333333333,"1.5","Low acid",4.486128582
8,46.730156557,4,39.43954988,2024-09-18 19:08:23.061,0.333333333333333,"2.9","Medium acid",-7.290606677
8,46.730156557,6,50.157860385,2024-09-18 19:24:22.036,0.333333333333333,"0-bp","No acid",3.427703828
8,46.730156557,7,35.602964041,2024-09-18 19:32:22.052,0.333333333333333,"5.7","High acid",-11.127192516
8,46.730156557,8,71.847473734,2024-09-18 19:40:21.049,0.333333333333333,"Mp","Machine plot",25.117317177
8,46.730156557,10,61.601086347,2024-09-18 19:56:20.836,0.333333333333333,"1.5","Low acid",14.87092979
8,46.730156557,11,53.897410984,2024-09-18 20:04:21.443,0.333333333333333,"2.9","Medium acid",7.167254427
8,46.730156557,12,67.569692314,2024-09-18 20:12:20.479,0.333333333333333,"Mp","Machine plot",20.839535757
8,46.730156557,13,59.741805679,2024-09-18 20:20:20.207,0.333333333333333,"5.7","High acid",13.011649122
8,46.730156557,14,60.68020535,2024-09-18 20:28:20.134,0.333333333333333,"0-bp","No acid",13.950048793
8,46.730156557,15,60.109705377,2024-09-18 20:36:20.621,0.333333333333333,"1.5","Low acid",13.37954882
8,46.730156557,17,61.471921991,2024-09-18 20:52:19.943,0.333333333333333,"2.9","Medium acid",14.741765434
8,46.730156557,18,74.68148489,2024-09-18 21:00:19.404,0.333333333333333,"Mp","Machine plot",27.951328333
8,46.730156557,19,53.509404306,2024-09-18 21:08:18.973,0.333333333333333,"5.7","High acid",6.779247749
10,56.1161316126667,1,75.011632895,2024-09-18 21:16:17.75,0.416666666666667,"Mp","Machine plot",18.8955012823333
10,56.1161316126667,2,38.210117199,2024-09-18 21:24:17.618,0.416666666666667,"0-bp","No acid",-17.9060144136667
10,56.1161316126667,3,39.114467916,2024-09-18 21:32:17.578,0.416666666666667,"1.5","Low acid",-17.0016636966667
10,56.1161316126667,4,30.266643032,2024-09-18 21:40:18.023,0.416666666666667,"2.9","Medium acid",-25.8494885806667
10,56.1161316126667,6,43.665442202,2024-09-18 21:56:17.691,0.416666666666667,"0-bp","No acid",-12.4506894106667
10,56.1161316126667,7,28.686012629,2024-09-18 22:04:16.194,0.416666666666667,"5.7","High acid",-27.4301189836667
10,56.1161316126667,8,58.725533894,2024-09-18 22:12:16.487,0.416666666666667,"Mp","Machine plot",2.60940228133334
10,56.1161316126667,10,51.591576913,2024-09-18 22:28:16.253,0.416666666666667,"1.5","Low acid",-4.52455469966667
10,56.1161316126667,11,44.790832271,2024-09-18 22:36:16.186,0.416666666666667,"2.9","Medium acid",-11.3252993416667
10,56.1161316126667,12,55.845582802,2024-09-18 22:44:16.184,0.416666666666667,"Mp","Machine plot",-0.270548810666661
10,56.1161316126667,13,50.208457989,2024-09-18 22:52:16.18,0.416666666666667,"5.7","High acid",-5.90767362366666
10,56.1161316126667,14,50.212406656,2024-09-18 23:00:15.252,0.416666666666667,"0-bp","No acid",-5.90372495666666
10,56.1161316126667,15,49.318728083,2024-09-18 23:08:15.286,0.416666666666667,"1.5","Low acid",-6.79740352966666
10,56.1161316126667,17,51.516825576,2024-09-18 23:24:14.21,0.416666666666667,"2.9","Medium acid",-4.59930603666666
10,56.1161316126667,18,63.920490261,2024-09-18 23:32:14.115,0.416666666666667,"Mp","Machine plot",7.80435864833333
10,56.1161316126667,19,45.478193214,2024-09-18 23:40:14.122,0.416666666666667,"5.7","High acid",-10.6379383986667
13,37.742122736,1,61.583228622,2024-09-18 23:48:13.994,0.541666666666667,"Mp","Machine plot",23.841105886
13,37.742122736,2,30.771453565,2024-09-18 23:56:14.401,0.541666666666667,"0-bp","No acid",-6.970669171
13,37.742122736,3,33.344414478,2024-09-19 00:04:12.805,0.541666666666667,"1.5","Low acid",-4.397708258
13,37.742122736,4,25.262797053,2024-09-19 00:12:13.417,0.541666666666667,"2.9","Medium acid",-12.479325683
13,37.742122736,6,35.380563345,2024-09-19 00:28:11.526,0.541666666666667,"0-bp","No acid",-2.361559391
13,37.742122736,7,25.266160536,2024-09-19 00:36:12.334,0.541666666666667,"5.7","High acid",-12.4759622
13,37.742122736,8,55.403609634,2024-09-19 00:44:12.367,0.541666666666667,"Mp","Machine plot",17.661486898
13,37.742122736,10,48.384655103,2024-09-19 01:00:11.302,0.541666666666667,"1.5","Low acid",10.642532367
13,37.742122736,11,42.049868242,2024-09-19 01:08:10.164,0.541666666666667,"2.9","Medium acid",4.307745506
13,37.742122736,12,57.324760202,2024-09-19 01:16:10.696,0.541666666666667,"Mp","Machine plot",19.582637466
13,37.742122736,13,46.970808999,2024-09-19 01:24:10.293,0.541666666666667,"5.7","High acid",9.228686263
13,37.742122736,14,48.753707981,2024-09-19 01:32:09.938,0.541666666666667,"0-bp","No acid",11.011585245
13,37.742122736,15,46.702463224,2024-09-19 01:40:09.726,0.541666666666667,"1.5","Low acid",8.960340488
13,37.742122736,17,49.453877589,2024-09-19 01:56:09.687,0.541666666666667,"2.9","Medium acid",11.711754853
13,37.742122736,18,64.153295932,2024-09-19 02:04:09.302,0.541666666666667,"Mp","Machine plot",26.411173196
13,37.742122736,19,45.153101425,2024-09-19 02:12:08.927,0.541666666666667,"5.7","High acid",7.410978689
15,34.7120482876667,1,59.685377292,2024-09-19 02:20:08.581,0.625,"Mp","Machine plot",24.9733290043333
15,34.7120482876667,2,31.708657799,2024-09-19 02:28:08.477,0.625,"0-bp","No acid",-3.00339048866667
15,34.7120482876667,3,34.66672562,2024-09-19 02:36:08.453,0.625,"1.5","Low acid",-0.0453226676666674
15,34.7120482876667,4,27.173758178,2024-09-19 02:44:08.148,0.625,"2.9","Medium acid",-7.53829010966667
15,34.7120482876667,6,40.278857339,2024-09-19 03:00:06.562,0.625,"0-bp","No acid",5.56680905133333
15,34.7120482876667,7,25.150974784,2024-09-19 03:08:07.999,0.625,"5.7","High acid",-9.56107350366667
15,34.7120482876667,8,53.951099127,2024-09-19 03:16:06.838,0.625,"Mp","Machine plot",19.2390508393333
15,34.7120482876667,10,48.454371093,2024-09-19 03:32:06.282,0.625,"1.5","Low acid",13.7423228053333
15,34.7120482876667,11,41.159211359,2024-09-19 03:40:05.941,0.625,"2.9","Medium acid",6.44716307133333
15,34.7120482876667,12,55.317611026,2024-09-19 03:48:06.296,0.625,"Mp","Machine plot",20.6055627383333
15,34.7120482876667,13,45.462754534,2024-09-19 03:56:05.753,0.625,"5.7","High acid",10.7507062463333
15,34.7120482876667,14,47.561921841,2024-09-19 04:04:05.256,0.625,"0-bp","No acid",12.8498735533333
15,34.7120482876667,15,44.698578982,2024-09-19 04:12:05.648,0.625,"1.5","Low acid",9.98653069433333
15,34.7120482876667,17,48.066339639,2024-09-19 04:28:04.657,0.625,"2.9","Medium acid",13.3542913513333
15,34.7120482876667,18,59.712381494,2024-09-19 04:36:04.197,0.625,"Mp","Machine plot",25.0003332063333
15,34.7120482876667,19,43.429522757,2024-09-19 04:44:04.484,0.625,"5.7","High acid",8.71747446933333
18,35.077111938,1,53.200387509,2024-09-19 04:52:03.881,0.75,"Mp","Machine plot",18.123275571
18,35.077111938,2,30.412298948,2024-09-19 05:00:03.703,0.75,"0-bp","No acid",-4.66481299
18,35.077111938,3,33.503576565,2024-09-19 05:08:03.5,0.75,"1.5","Low acid",-1.573535373
18,35.077111938,4,25.475301287,2024-09-19 05:16:03.107,0.75,"2.9","Medium acid",-9.601810651
18,35.077111938,6,38.180637871,2024-09-19 05:32:01.539,0.75,"0-bp","No acid",3.103525933
18,35.077111938,7,25.424521694,2024-09-19 05:40:03.086,0.75,"5.7","High acid",-9.652590244
18,35.077111938,8,47.146170747,2024-09-19 05:48:02.872,0.75,"Mp","Machine plot",12.069058809
18,35.077111938,10,49.180481998,2024-09-19 06:04:01.203,0.75,"1.5","Low acid",14.10337006
18,35.077111938,11,43.109362275,2024-09-19 06:12:01.466,0.75,"2.9","Medium acid",8.032250337
18,35.077111938,12,55.781652111,2024-09-19 06:20:00.036,0.75,"Mp","Machine plot",20.704540173
18,35.077111938,13,49.02866743,2024-09-19 06:28:01.332,0.75,"5.7","High acid",13.951555492
18,35.077111938,14,50.842640285,2024-09-19 06:36:00.845,0.75,"0-bp","No acid",15.765528347
18,35.077111938,15,49.613913292,2024-09-19 06:44:00.18,0.75,"1.5","Low acid",14.536801354
18,35.077111938,17,54.190195523,2024-09-19 06:59:59.259,0.75,"2.9","Medium acid",19.113083585
18,35.077111938,18,64.675428684,2024-09-19 07:07:59.694,0.75,"Mp","Machine plot",29.598316746
18,35.077111938,19,50.832947711,2024-09-19 07:16:00.032,0.75,"5.7","High acid",15.755835773
20,63.673471939,1,59.555485732,2024-09-19 07:23:58.552,0.833333333333333,"Mp","Machine plot",-4.117986207
20,63.673471939,2,37.7492156,2024-09-19 07:31:59.046,0.833333333333333,"0-bp","No acid",-25.924256339
20,63.673471939,3,42.484546369,2024-09-19 07:39:58.842,0.833333333333333,"1.5","Low acid",-21.18892557
20,63.673471939,4,35.761163935,2024-09-19 07:47:58.345,0.833333333333333,"2.9","Medium acid",-27.912308004
20,63.673471939,6,60.252446317,2024-09-19 08:03:58.299,0.833333333333333,"0-bp","No acid",-3.421025622
20,63.673471939,7,47.75127394,2024-09-19 08:11:57.891,0.833333333333333,"5.7","High acid",-15.922197999
20,63.673471939,8,105.09613786,2024-09-19 08:19:57.638,0.833333333333333,"Mp","Machine plot",41.422665921
20,63.673471939,10,98.720917321,2024-09-19 08:35:56.858,0.833333333333333,"1.5","Low acid",35.047445382
20,63.673471939,11,83.34607858,2024-09-19 08:43:56.275,0.833333333333333,"2.9","Medium acid",19.672606641
20,63.673471939,12,146.64829899,2024-09-19 08:51:56.601,0.833333333333333,"Mp","Machine plot",82.974827051
20,63.673471939,13,109.50100202,2024-09-19 08:59:56.006,0.833333333333333,"5.7","High acid",45.827530081
20,63.673471939,14,126.69738651,2024-09-19 09:07:55.295,0.833333333333333,"0-bp","No acid",63.023914571
20,63.673471939,15,117.68611779,2024-09-19 09:15:55.469,0.833333333333333,"1.5","Low acid",54.012645851
20,63.673471939,17,123.66536964,2024-09-19 09:31:55.773,0.833333333333333,"2.9","Medium acid",59.991897701
20,63.673471939,18,156.1843132,2024-09-19 09:39:55.007,0.833333333333333,"Mp","Machine plot",92.510841261
20,63.673471939,19,118.99873268,2024-09-19 09:47:55.232,0.833333333333333,"5.7","High acid",55.325260741
23,100.360761508333,1,150.89321339,2024-09-19 09:55:54.671,0.958333333333333,"Mp","Machine plot",50.5324518816667
23,100.360761508333,2,106.80360952,2024-09-19 10:03:54.648,0.958333333333333,"0-bp","No acid",6.44284801166667
23,100.360761508333,3,101.29543044,2024-09-19 10:11:54.586,0.958333333333333,"1.5","Low acid",0.934668931666678
23,100.360761508333,4,94.639609208,2024-09-19 10:19:54.812,0.958333333333333,"2.9","Medium acid",-5.72115230033333
23,100.360761508333,6,98.456289778,2024-09-19 10:35:54.658,0.958333333333333,"0-bp","No acid",-1.90447173033333
23,100.360761508333,7,102.33440468,2024-09-19 10:43:54.213,0.958333333333333,"5.7","High acid",1.97364317166668
23,100.360761508333,8,181.63419567,2024-09-19 10:51:54.566,0.958333333333333,"Mp","Machine plot",81.2734341616667
23,100.360761508333,10,146.05110817,2024-09-19 11:07:53.888,0.958333333333333,"1.5","Low acid",45.6903466616667
23,100.360761508333,11,135.1597188,2024-09-19 11:15:52.344,0.958333333333333,"2.9","Medium acid",34.7989572916667
23,100.360761508333,12,187.59245168,2024-09-19 11:23:53.528,0.958333333333333,"Mp","Machine plot",87.2316901716667
23,100.360761508333,13,164.33452556,2024-09-19 11:31:52.111,0.958333333333333,"5.7","High acid",63.9737640516667
23,100.360761508333,14,155.47942757,2024-09-19 11:39:52.64,0.958333333333333,"0-bp","No acid",55.1186660616667
23,100.360761508333,15,174.37525639,2024-09-19 11:47:52.151,0.958333333333333,"1.5","Low acid",74.0144948816667
23,100.360761508333,17,173.55155916,2024-09-19 12:03:51.851,0.958333333333333,"2.9","Medium acid",73.1907976516667
23,100.360761508333,18,224.40898325,2024-09-19 12:11:52.138,0.958333333333333,"Mp","Machine plot",124.048221741667
23,100.360761508333,19,163.0992442,2024-09-19 12:19:52.578,0.958333333333333,"5.7","High acid",62.7384826916667
25,115.501356475667,1,183.75746992,2024-09-19 12:27:51.326,1.04166666666667,"Mp","Machine plot",68.2561134443333
25,115.501356475667,2,109.3796079,2024-09-19 12:35:52.069,1.04166666666667,"0-bp","No acid",-6.12174857566667
25,115.501356475667,3,112.33116172,2024-09-19 12:43:50.977,1.04166666666667,"1.5","Low acid",-3.17019475566667
25,115.501356475667,4,103.00829973,2024-09-19 12:51:51.364,1.04166666666667,"2.9","Medium acid",-12.4930567456667
25,115.501356475667,6,97.144623491,2024-09-19 13:07:51.408,1.04166666666667,"0-bp","No acid",-18.3567329846667
25,115.501356475667,7,99.621763889,2024-09-19 13:15:51.02,1.04166666666667,"5.7","High acid",-15.8795925866667
25,115.501356475667,8,215.3755314,2024-09-19 13:23:50.612,1.04166666666667,"Mp","Machine plot",99.8741749243333
25,115.501356475667,10,180.46460781,2024-09-19 13:39:49.779,1.04166666666667,"1.5","Low acid",64.9632513343333
25,115.501356475667,11,171.1673689,2024-09-19 13:47:49.996,1.04166666666667,"2.9","Medium acid",55.6660124243333
25,115.501356475667,12,232.68373602,2024-09-19 13:55:50.22,1.04166666666667,"Mp","Machine plot",117.182379544333
25,115.501356475667,13,190.73822979,2024-09-19 14:03:50.384,1.04166666666667,"5.7","High acid",75.2368733143333
25,115.501356475667,14,173.3495582,2024-09-19 14:11:50.671,1.04166666666667,"0-bp","No acid",57.8482017243333
25,115.501356475667,15,183.73818003,2024-09-19 14:19:49.934,1.04166666666667,"1.5","Low acid",68.2368235543333
25,115.501356475667,17,182.30278995,2024-09-19 14:35:49.368,1.04166666666667,"2.9","Medium acid",66.8014334743333
25,115.501356475667,18,231.42527779,2024-09-19 14:43:49.448,1.04166666666667,"Mp","Machine plot",115.923921314333
25,115.501356475667,19,163.11302658,2024-09-19 14:51:49.552,1.04166666666667,"5.7","High acid",47.6116701043333
28,76.76750531,1,182.42395513,2024-09-19 14:59:49.091,1.16666666666667,"Mp","Machine plot",105.65644982
28,76.76750531,2,86.381074553,2024-09-19 15:07:48.805,1.16666666666667,"0-bp","No acid",9.613569243
28,76.76750531,3,91.719504457,2024-09-19 15:15:49.338,1.16666666666667,"1.5","Low acid",14.951999147
28,76.76750531,4,78.404991844,2024-09-19 15:23:48.576,1.16666666666667,"2.9","Medium acid",1.63748653399999
28,76.76750531,6,74.758192403,2024-09-19 15:39:48.368,1.16666666666667,"0-bp","No acid",-2.00931290700001
28,76.76750531,7,83.613402499,2024-09-19 15:47:48.714,1.16666666666667,"5.7","High acid",6.845897189
28,76.76750531,8,191.58438361,2024-09-19 15:55:48.177,1.16666666666667,"Mp","Machine plot",114.8168783
28,76.76750531,10,148.96871503,2024-09-19 16:11:48.036,1.16666666666667,"1.5","Low acid",72.20120972
28,76.76750531,11,123.70534529,2024-09-19 16:19:48.282,1.16666666666667,"2.9","Medium acid",46.93783998
28,76.76750531,12,174.41864757,2024-09-19 16:27:47.539,1.16666666666667,"Mp","Machine plot",97.65114226
28,76.76750531,13,129.20543587,2024-09-19 16:35:46.828,1.16666666666667,"5.7","High acid",52.43793056
28,76.76750531,14,117.21458259,2024-09-19 16:43:47.917,1.16666666666667,"0-bp","No acid",40.44707728
28,76.76750531,15,119.99901949,2024-09-19 16:51:47.145,1.16666666666667,"1.5","Low acid",43.23151418
28,76.76750531,17,118.61755128,2024-09-19 17:07:45.69,1.16666666666667,"2.9","Medium acid",41.85004597
28,76.76750531,18,137.90935091,2024-09-19 17:15:45.904,1.16666666666667,"Mp","Machine plot",61.1418456
28,76.76750531,19,98.87502596,2024-09-19 17:23:46.125,1.16666666666667,"5.7","High acid",22.10752065
30,44.5233549126667,1,98.454139622,2024-09-19 17:31:45.686,1.25,"Mp","Machine plot",53.9307847093333
