station,date,time,metp
6069,17/09/2024,0,8.7
6069,17/09/2024,1,8.9
6069,17/09/2024,2,8.7
6069,17/09/2024,3,8.2
6069,17/09/2024,4,7.7
6069,17/09/2024,5,7.7
6069,17/09/2024,6,7.9
6069,17/09/2024,7,9
6069,17/09/2024,8,10.6
6069,17/09/2024,9,12.6
6069,17/09/2024,10,14.1
6069,17/09/2024,11,15.8
6069,17/09/2024,12,17.1
6069,17/09/2024,13,17.9
6069,17/09/2024,14,18.1
6069,17/09/2024,15,17.5
6069,17/09/2024,16,17.1
6069,17/09/2024,17,16.8
6069,17/09/2024,18,15.1
6069,17/09/2024,19,13.7
6069,17/09/2024,20,13.2
6069,17/09/2024,21,12.8
6069,17/09/2024,22,12.5
6069,17/09/2024,23,12
6069,18/09/2024,0,11.6
6069,18/09/2024,1,11
6069,18/09/2024,2,10.5
6069,18/09/2024,3,9.5
6069,18/09/2024,4,9.4
6069,18/09/2024,5,8.9
6069,18/09/2024,6,8.2
6069,18/09/2024,7,9.2
6069,18/09/2024,8,10.7
6069,18/09/2024,9,12.8
6069,18/09/2024,10,15.4
6069,18/09/2024,11,17.7
6069,18/09/2024,12,18.8
6069,18/09/2024,13,19.7
6069,18/09/2024,14,20
6069,18/09/2024,15,19.9
6069,18/09/2024,16,19.6
6069,18/09/2024,17,18.6
6069,18/09/2024,18,17
6069,18/09/2024,19,15.3
6069,18/09/2024,20,14.2
6069,18/09/2024,21,13.5
6069,18/09/2024,22,12.9
6069,18/09/2024,23,11.9
6069,19/09/2024,0,12.2
6069,19/09/2024,1,10.8
6069,19/09/2024,2,10.2
6069,19/09/2024,3,9.5
6069,19/09/2024,4,9.7
6069,19/09/2024,5,10
6069,19/09/2024,6,10.2
6069,19/09/2024,7,11.1
6069,19/09/2024,8,12.9
6069,19/09/2024,9,14.6
6069,19/09/2024,10,16.7
6069,19/09/2024,11,18.7
6069,19/09/2024,12,19.8
6069,19/09/2024,13,20.5
6069,19/09/2024,14,21
6069,19/09/2024,15,21.1
6069,19/09/2024,16,20.5
6069,19/09/2024,17,18.9
6069,19/09/2024,18,16.6
6069,19/09/2024,19,14.5
6069,19/09/2024,20,13.6
6069,19/09/2024,21,12.9
6069,19/09/2024,22,12.5
6069,19/09/2024,23,12.5
6069,20/09/2024,0,12.4
6069,20/09/2024,1,12
6069,20/09/2024,2,11.3
6069,20/09/2024,3,11.3
6069,20/09/2024,4,11.7
6069,20/09/2024,5,12.2
6069,20/09/2024,6,12.4
6069,20/09/2024,7,12.6
6069,20/09/2024,8,12.9
6069,20/09/2024,9,13.2
6069,20/09/2024,10,13.7
6069,20/09/2024,11,14.1
6069,20/09/2024,12,15.3
6069,20/09/2024,13,17.1
6069,20/09/2024,14,18.8
6069,20/09/2024,15,19.5
6069,20/09/2024,16,19.5
6069,20/09/2024,17,18.8
6069,20/09/2024,18,16.8
6069,20/09/2024,19,14.7
6069,20/09/2024,20,13.8
6069,20/09/2024,21,13.5
6069,20/09/2024,22,12.9
6069,20/09/2024,23,12.4
6069,21/09/2024,0,11.7
6069,21/09/2024,1,11.5
6069,21/09/2024,2,11.4
6069,21/09/2024,3,11.3
6069,21/09/2024,4,11.4
6069,21/09/2024,5,11.1
6069,21/09/2024,6,10.9
6069,21/09/2024,7,11.1
6069,21/09/2024,8,11.8
6069,21/09/2024,9,12.6
6069,21/09/2024,10,14
6069,21/09/2024,11,16
6069,21/09/2024,12,18.8
6069,21/09/2024,13,20.2
6069,21/09/2024,14,20.7
6069,21/09/2024,15,20.9
6069,21/09/2024,16,20.2
6069,21/09/2024,17,18.7
6069,21/09/2024,18,16.8
6069,21/09/2024,19,15.2
6069,21/09/2024,20,14
6069,21/09/2024,21,13.3
6069,21/09/2024,22,12.8
6069,21/09/2024,23,12.7
6069,22/09/2024,0,12.4
6069,22/09/2024,1,11
6069,22/09/2024,2,10.8
6069,22/09/2024,3,10.9
6069,22/09/2024,4,10.8
6069,22/09/2024,5,9.7
6069,22/09/2024,6,9.4
6069,22/09/2024,7,9.8
6069,22/09/2024,8,11.9
6069,22/09/2024,9,14.5
6069,22/09/2024,10,15.6
6069,22/09/2024,11,15.6
6069,22/09/2024,12,18.5
6069,22/09/2024,13,19.4
6069,22/09/2024,14,19.5
6069,22/09/2024,15,19.4
6069,22/09/2024,16,18.6
6069,22/09/2024,17,17.3
6069,22/09/2024,18,15.5
6069,22/09/2024,19,13.9
6069,22/09/2024,20,12.7
6069,22/09/2024,21,11.8
6069,22/09/2024,22,11.8
6069,22/09/2024,23,11.2
6069,23/09/2024,0,10.5
6069,23/09/2024,1,9.6
6069,23/09/2024,2,9.1
6069,23/09/2024,3,8.1
6069,23/09/2024,4,7.5
6069,23/09/2024,5,8.1
6069,23/09/2024,6,9.6
6069,23/09/2024,7,11.3
6069,23/09/2024,8,12
6069,23/09/2024,9,12.4
6069,23/09/2024,10,12.7
6069,23/09/2024,11,13.5
6069,23/09/2024,12,15.2
6069,23/09/2024,13,17.5
6069,23/09/2024,14,18.4
6069,23/09/2024,15,18.3
6069,23/09/2024,16,18.1
6069,23/09/2024,17,17.3
6069,23/09/2024,18,16.1
6069,23/09/2024,19,15.3
6069,23/09/2024,20,15
6069,23/09/2024,21,15
6069,23/09/2024,22,15
6069,23/09/2024,23,14.8
6069,24/09/2024,0,14.9
6069,24/09/2024,1,14.7
6069,24/09/2024,2,14.6
6069,24/09/2024,3,14.5
6069,24/09/2024,4,14.5
6069,24/09/2024,5,14.2
6069,24/09/2024,6,14.4
6069,24/09/2024,7,14.4
6069,24/09/2024,8,14.6
6069,24/09/2024,9,15
6069,24/09/2024,10,14.8
6069,24/09/2024,11,14.5
6069,24/09/2024,12,15.7
6069,24/09/2024,13,17
6069,24/09/2024,14,17.3
6069,24/09/2024,15,16.8
6069,24/09/2024,16,16.8
6069,24/09/2024,17,16.1
6069,24/09/2024,18,15.1
6069,24/09/2024,19,14.5
6069,24/09/2024,20,13.8
6069,24/09/2024,21,13.2
6069,24/09/2024,22,12.7
6069,24/09/2024,23,12.8
6069,25/09/2024,0,13.4
6069,25/09/2024,1,13.7
6069,25/09/2024,2,13.7
6069,25/09/2024,3,13.1
6069,25/09/2024,4,12.4
6069,25/09/2024,5,11.9
6069,25/09/2024,6,11.5
6069,25/09/2024,7,11.3
6069,25/09/2024,8,11.9
6069,25/09/2024,9,12.9
6069,25/09/2024,10,13.4
6069,25/09/2024,11,12.7
6069,25/09/2024,12,12.8
6069,25/09/2024,13,14.4
6069,25/09/2024,14,14.1
6069,25/09/2024,15,13.8
6069,25/09/2024,16,13.2
6069,25/09/2024,17,12.6
6069,25/09/2024,18,11.8
6069,25/09/2024,19,10.3
6069,25/09/2024,20,9.5
6069,25/09/2024,21,8.9
6069,25/09/2024,22,8.4
6069,25/09/2024,23,8
6069,26/09/2024,0,7.4
6069,26/09/2024,1,7.5
6069,26/09/2024,2,7.4
6069,26/09/2024,3,7.3
6069,26/09/2024,4,7.5
6069,26/09/2024,5,8.1
6069,26/09/2024,6,8.7
6069,26/09/2024,7,9.5
6069,26/09/2024,8,10.9
6069,26/09/2024,9,12.4
6069,26/09/2024,10,13.3
6069,26/09/2024,11,13.9
6069,26/09/2024,12,13.2
6069,26/09/2024,13,12.9
6069,26/09/2024,14,12.4
6069,26/09/2024,15,12.2
6069,26/09/2024,16,11.9
6069,26/09/2024,17,12
6069,26/09/2024,18,12
6069,26/09/2024,19,11.9
6069,26/09/2024,20,11.9
6069,26/09/2024,21,12.1
6069,26/09/2024,22,12.1
6069,26/09/2024,23,11.9
6069,27/09/2024,0,11.6
6069,27/09/2024,1,11.4
6069,27/09/2024,2,11.4
6069,27/09/2024,3,11.4
6069,27/09/2024,4,11.3
6069,27/09/2024,5,10.9
6069,27/09/2024,6,10.8
6069,27/09/2024,7,10.9
6069,27/09/2024,8,11
6069,27/09/2024,9,11.3
6069,27/09/2024,10,11.6
6069,27/09/2024,11,11.5
6069,27/09/2024,12,11.3
6069,27/09/2024,13,10.9
6069,27/09/2024,14,10.8
6069,27/09/2024,15,10.7
6069,27/09/2024,16,10.5
6069,27/09/2024,17,10.3
6069,27/09/2024,18,10.1
6069,27/09/2024,19,10
6069,27/09/2024,20,9.5
6069,27/09/2024,21,8.8
6069,27/09/2024,22,8.3
6069,27/09/2024,23,7.8
6069,28/09/2024,0,7.7
6069,28/09/2024,1,7.8
6069,28/09/2024,2,7.7
6069,28/09/2024,3,8.1
6069,28/09/2024,4,8.3
6069,28/09/2024,5,8.2
6069,28/09/2024,6,8
6069,28/09/2024,7,7.9
6069,28/09/2024,8,8.7
6069,28/09/2024,9,9.4
6069,28/09/2024,10,10.2
6069,28/09/2024,11,9.9
6069,28/09/2024,12,10.5
6069,28/09/2024,13,11.5
6069,28/09/2024,14,11.6
6069,28/09/2024,15,11.6
6069,28/09/2024,16,11.4
6069,28/09/2024,17,10.3
6069,28/09/2024,18,9.4
6069,28/09/2024,19,8
6069,28/09/2024,20,7.7
6069,28/09/2024,21,7.2
6069,28/09/2024,22,6.2
6069,28/09/2024,23,6
6069,29/09/2024,0,5.7
6069,29/09/2024,1,5.8
6069,29/09/2024,2,5.4
6069,29/09/2024,3,5
6069,29/09/2024,4,5.3
6069,29/09/2024,5,5
6069,29/09/2024,6,4.6
6069,29/09/2024,7,5.2
6069,29/09/2024,8,7.3
6069,29/09/2024,9,9.2
6069,29/09/2024,10,10.6
6069,29/09/2024,11,11.5
6069,29/09/2024,12,12.9
6069,29/09/2024,13,13.3
6069,29/09/2024,14,13.6
6069,29/09/2024,15,13.3
6069,29/09/2024,16,12.8
6069,29/09/2024,17,11.6
6069,29/09/2024,18,11
6069,29/09/2024,19,10.5
6069,29/09/2024,20,10.4
6069,29/09/2024,21,10.4
6069,29/09/2024,22,10.5
6069,29/09/2024,23,10.6
6069,30/09/2024,0,10.1
6069,30/09/2024,1,9.5
6069,30/09/2024,2,8.9
6069,30/09/2024,3,8.8
6069,30/09/2024,4,9
6069,30/09/2024,5,9
6069,30/09/2024,6,8.2
6069,30/09/2024,7,8.9
6069,30/09/2024,8,9.8
6069,30/09/2024,9,11.4
6069,30/09/2024,10,12.6
6069,30/09/2024,11,12.7
6069,30/09/2024,12,13.1
6069,30/09/2024,13,13.1
6069,30/09/2024,14,12.8
6069,30/09/2024,15,12.8
6069,30/09/2024,16,12.9
6069,30/09/2024,17,12.2
6069,30/09/2024,18,11
6069,30/09/2024,19,10.7
6069,30/09/2024,20,10.4
6069,30/09/2024,21,10.1
6069,30/09/2024,22,9.5
6069,30/09/2024,23,9.2
